user_id,segment_label,age,income_tier,usage_frequency,tech_savviness,price_sensitivity,feature_adoption_rate,subscription_tier,churn_risk_baseline,engagement_score,satisfaction_score,name,email,locale,country
u_000043,early_adopter,26,mid,weekly,9.1,4.8,1.0,premium,0.1232,80.2,98.2,Craig Gibson,richardheidi@example.org,pt_PT,Niue
u_000044,price_sensitive,47,low,weekly,7.6,10.0,0.325,free,0.3206,29.8,37.4,Jesse Jones,ubrown@example.net,oc_FR,Cocos (Keeling) Islands
u_000045,casual_browser,46,mid,weekly,3.8,5.5,0.253,free,0.1965,47.2,60.7,Eric Frost,pruittchristopher@example.net,gu_IN,Niger
u_000046,casual_browser,35,low,weekly,6.6,3.6,0.26,free,0.2527,63.1,72.8,Brian Acevedo,jbrown@example.com,mn_MN,South Georgia and the South Sandwich Islands
u_000047,casual_browser,31,high,weekly,6.6,3.2,0.105,basic,0.2206,37.5,76.4,Gregory Ross,jrobertson@example.org,sq_ML,Vietnam
u_000048,enterprise_user,35,mid,weekly,5.0,2.3,0.53,premium,0.0301,46.9,48.7,Steven Osborne,fthompson@example.org,kw_GB,Gabon
u_000049,casual_browser,41,high,occasional,7.5,6.8,0.304,free,0.248,44.1,57.4,Jessica Burns,rodriguezheather@example.net,fa_IR,Montserrat
u_000050,power_user,33,mid,daily,8.8,3.9,0.794,premium,0.0649,71.2,77.6,Natalie Wheeler,meyershannon@example.org,hr_HR,Saint Pierre and Miquelon
u_000051,price_sensitive,34,low,daily,5.1,8.6,0.338,basic,0.2089,36.5,48.8,Jack Hill,jacksonglenn@example.net,or_IN,Libyan Arab Jamahiriya
u_000052,early_adopter,24,high,daily,9.2,4.5,0.941,premium,0.1607,83.7,95.7,Thomas Robinson,gstokes@example.com,xh_ZA,Korea
u_000053,price_sensitive,40,mid,daily,8.8,9.6,0.236,free,0.3351,51.9,51.0,Alyssa Young,thale@example.org,the_NP,Dominican Republic
u_000054,casual_browser,40,low,occasional,6.5,4.9,0.268,premium,0.2248,12.2,69.2,Jennifer Snow,davidmiller@example.com,sv_SE,Georgia
u_000055,early_adopter,18,low,weekly,9.9,3.2,0.851,premium,0.1615,77.6,98.5,Victoria Taylor,lewisian@example.org,cmn_TW,Croatia
u_000056,enterprise_user,49,high,weekly,5.1,2.6,0.245,premium,0.036,72.9,59.2,Charles Perkins DVM,jonescharles@example.com,bhb_IN,Germany
u_000057,power_user,28,high,daily,10.0,5.6,0.832,premium,0.0117,66.1,62.4,Rhonda Garcia,matthewshaw@example.net,ky_KG,Nicaragua
u_000058,early_adopter,30,high,daily,9.8,5.5,0.916,premium,0.1042,89.3,86.7,April James,robert67@example.net,am_ET,American Samoa
u_000059,early_adopter,25,high,daily,9.7,3.6,1.0,premium,0.1999,78.5,77.8,Morgan Hernandez,zwallace@example.com,hy_AM,Zimbabwe
u_000060,casual_browser,53,mid,occasional,2.6,4.9,0.451,premium,0.302,70.1,36.2,Andrea Ferguson,gbyrd@example.net,sk_SK,Nepal
u_000061,casual_browser,34,mid,occasional,4.9,9.5,0.162,premium,0.1024,52.1,35.1,Joseph Long,abigail06@example.org,ik_CA,Belarus
u_000062,casual_browser,50,mid,weekly,3.0,1.7,0.192,basic,0.1362,54.2,61.5,Katherine Holmes,kchavez@example.net,ro_RO,Equatorial Guinea
u_000063,price_sensitive,32,low,occasional,2.5,8.8,0.408,basic,0.2018,64.3,45.6,Joanna Moore,plopez@example.org,da_DK,Argentina
u_000064,power_user,29,high,weekly,9.2,1.2,0.835,free,0.068,82.0,67.7,Christine White,leslie32@example.com,mni_IN,Pakistan
u_000065,casual_browser,18,mid,daily,4.7,8.8,0.109,basic,0.302,28.4,48.2,William Mcfarland,scottcollins@example.net,eu_ES,Senegal
u_000066,casual_browser,39,mid,weekly,6.3,7.1,0.389,free,0.222,52.3,44.1,Samantha Andrews,dawsonstephanie@example.org,yi_US,Mayotte
u_000067,casual_browser,28,low,weekly,5.2,9.2,0.175,basic,0.2004,29.7,77.8,John Davis,rossdaniel@example.com,lg_UG,Morocco
u_000068,early_adopter,27,mid,daily,9.7,3.5,0.849,basic,0.1068,81.3,82.9,Shane Snyder,john35@example.com,ik_CA,Cook Islands
u_000069,casual_browser,49,low,weekly,5.9,7.3,0.399,basic,0.3304,71.4,67.5,Jason Blackwell,matthewbrown@example.com,mg_MG,Uganda
u_000070,enterprise_user,39,high,daily,5.2,2.8,0.308,premium,0.0146,69.4,82.5,Gregory Hughes,kristen65@example.org,yo_NG,Niue
u_000071,casual_browser,26,low,occasional,4.8,4.5,0.392,free,0.3034,59.9,69.4,Steven Horn,joneschristine@example.org,lt_LT,Christmas Island
u_000072,price_sensitive,19,low,daily,1.5,8.6,0.134,free,0.1806,60.9,49.2,Erika Gibson,hicksjoshua@example.net,gv_GB,Palestinian Territory
u_000073,early_adopter,33,mid,occasional,9.5,5.3,0.864,basic,0.0394,88.2,91.3,Michael English,wilsonchloe@example.com,de_AT,Christmas Island
u_000074,power_user,27,high,daily,9.4,4.8,0.943,basic,0.0923,74.9,75.1,Michael Bennett,lisa49@example.org,ar_ER,Vanuatu
u_000075,early_adopter,25,mid,daily,8.4,5.2,0.801,premium,0.0812,83.5,77.2,Douglas Edwards,stevenrodriguez@example.net,sid_ET,Yemen
u_000076,power_user,30,high,daily,8.6,2.7,0.872,free,0.0857,78.7,83.2,Melvin Poole,meganjames@example.org,ka_GE,Bermuda
u_000077,power_user,28,high,daily,8.0,2.8,1.0,premium,0.0839,98.0,75.0,Anthony Johnson,holmesrachel@example.org,nn_NO,Iran
u_000078,enterprise_user,35,high,daily,5.6,2.5,0.712,premium,0.0207,56.8,56.0,Alexander Stevens,jennifer83@example.com,oc_FR,Oman
u_000079,casual_browser,26,low,weekly,4.4,4.2,0.272,free,0.2393,59.7,63.4,Sarah Williams,markhernandez@example.net,sr_RS,Sri Lanka
u_000080,price_sensitive,32,mid,weekly,7.2,10.0,0.264,basic,0.3381,35.2,52.7,William Harris,elizabeth60@example.org,ik_CA,New Caledonia
u_000081,casual_browser,26,mid,occasional,4.8,3.8,0.511,free,0.2828,62.1,30.4,Margaret Ferguson,rhonda24@example.net,wa_BE,Nigeria
u_000082,power_user,30,high,weekly,8.6,3.8,0.721,premium,0.0634,76.4,92.6,James Scott,moorepatricia@example.com,hy_AM,Sierra Leone
u_000083,casual_browser,46,mid,weekly,8.2,6.3,0.441,premium,0.2036,48.3,37.3,Philip Wright,tclark@example.net,li_BE,Monaco
u_000084,casual_browser,39,mid,occasional,6.3,7.6,0.335,free,0.277,42.8,64.1,John Chavez,kelly74@example.com,wal_ET,Angola
u_000085,power_user,32,mid,daily,7.8,5.4,0.516,premium,0.0362,73.7,81.7,Antonio Taylor,jenniferclark@example.org,lb_LU,Costa Rica
u_000086,power_user,31,high,weekly,8.9,5.1,0.724,premium,0.0835,63.4,77.1,Bryan Castro,cjackson@example.org,pt_BR,Angola
u_000087,early_adopter,29,mid,daily,7.9,2.5,0.908,basic,0.0208,94.6,75.0,Lori Foster DVM,kristinking@example.net,csb_PL,Isle of Man
u_000088,enterprise_user,37,high,daily,6.4,2.5,0.54,basic,0.0648,73.7,66.0,Michael Johnson,edwin05@example.org,ln_CD,Singapore
u_000089,casual_browser,31,high,weekly,2.2,6.2,0.093,basic,0.091,41.0,41.9,Carlos Davidson,zpennington@example.org,pap_CW,United States of America
u_000090,early_adopter,26,mid,daily,9.5,3.7,0.962,basic,0.1351,97.1,79.8,Joshua Hernandez,nday@example.net,niu_NU,Pakistan
u_000091,power_user,30,high,daily,9.5,4.0,0.971,premium,0.1001,79.9,79.2,Nicole Gordon,michael40@example.org,wae_CH,Equatorial Guinea
u_000092,enterprise_user,46,high,weekly,3.9,2.8,0.475,premium,0.1019,79.2,86.2,Eric Sanchez,kristywilliams@example.com,gd_GB,Lesotho
u_000093,price_sensitive,35,low,weekly,4.4,9.2,0.252,free,0.4461,39.8,65.5,William Pratt DDS,catherine87@example.org,ia_FR,French Guiana
u_000094,enterprise_user,33,high,weekly,9.6,2.3,0.634,premium,0.0295,68.9,57.4,Ryan Mason,finleybrandy@example.org,ln_CD,Comoros
u_000095,enterprise_user,36,mid,daily,6.7,4.0,0.453,premium,0.0597,72.9,73.1,Brian Gilbert,tpatel@example.net,se_NO,Kuwait
u_000096,enterprise_user,30,high,daily,7.6,3.6,0.42,basic,0.0502,65.4,48.8,Norma Ramirez,bhayden@example.com,ku_TR,Swaziland
u_000097,enterprise_user,40,high,daily,9.9,2.2,0.628,premium,0.0369,74.1,70.0,Paula Warren,lcontreras@example.com,sa_IN,Tuvalu
u_000098,early_adopter,23,low,daily,8.8,4.7,0.862,premium,0.0652,100.0,84.1,Dustin Duran,jack95@example.com,tk_TM,Iraq
u_000099,early_adopter,27,high,daily,8.2,3.3,0.868,premium,0.2008,66.1,76.0,Kevin Hood,parkerkenneth@example.com,th_TH,Timor-Leste
u_000100,enterprise_user,31,high,daily,6.9,3.0,0.405,premium,0.0453,86.8,60.9,Toni Leon DDS,brianmiller@example.net,mi_NZ,British Indian Ocean Territory (Chagos Archipelago)
u_000101,enterprise_user,39,high,weekly,9.8,4.6,0.521,premium,0.0872,73.0,65.3,Brian Valentine,alvarezstacy@example.com,hne_IN,Qatar
u_000102,power_user,32,mid,daily,7.9,4.5,0.873,premium,0.0487,92.8,55.8,Kimberly Lam,usmith@example.net,kl_GL,Luxembourg
u_000103,early_adopter,21,high,daily,9.2,2.8,0.863,free,0.113,72.6,77.9,Amy Sanchez,ortegajoseph@example.com,nr_ZA,Iceland
u_000104,early_adopter,18,high,daily,9.9,3.6,0.826,premium,0.024,86.6,76.0,April Bowman,ricky11@example.org,ru_RU,Papua New Guinea
u_000105,price_sensitive,27,mid,weekly,6.5,8.4,0.414,basic,0.3796,33.2,27.1,Daniel Baxter,rebecca47@example.net,kw_GB,Jamaica
u_000106,power_user,41,high,weekly,7.5,4.5,0.793,premium,0.104,70.4,68.9,Raymond Jones,susan57@example.net,gl_ES,Gibraltar
u_000107,power_user,36,high,daily,7.4,2.5,0.788,free,0.0478,68.8,74.1,Jessica Roberts,bmiller@example.org,tig_ER,Saint Lucia
u_000108,price_sensitive,42,low,weekly,7.0,6.7,0.212,free,0.339,54.6,36.5,Matthew Gonzalez,millerjenny@example.org,ce_RU,Mali
u_000109,casual_browser,36,mid,occasional,5.7,1.7,0.134,basic,0.2813,28.0,78.7,Dean Wilson,dcurry@example.net,wal_ET,Lebanon
u_000110,casual_browser,32,low,daily,2.1,4.2,0.51,free,0.3536,56.4,79.0,Andrew Martin,pgallagher@example.net,et_EE,Angola
u_000111,early_adopter,27,low,daily,10.0,2.9,0.734,premium,0.1254,98.3,88.2,Elizabeth Vasquez,patrick75@example.com,be_BY,Mali
u_000112,early_adopter,22,mid,daily,8.5,5.1,0.808,premium,0.205,93.4,74.1,Katherine Salinas MD,debra97@example.com,am_ET,Bangladesh
u_000113,price_sensitive,35,low,occasional,6.2,7.6,0.312,basic,0.1797,45.8,63.2,Elizabeth Burton,gonzalezbob@example.com,lzh_TW,Luxembourg
u_000114,early_adopter,27,mid,daily,8.7,6.5,0.936,basic,0.1614,100.0,84.5,Melissa Brown,vsharp@example.com,os_RU,Guinea
u_000115,casual_browser,40,low,weekly,5.9,6.9,0.141,free,0.3662,46.6,48.4,Felicia Smith,hrichmond@example.net,tcy_IN,Holy See (Vatican City State)
u_000116,price_sensitive,38,mid,weekly,6.2,8.6,0.32,free,0.3076,30.6,57.5,Michael Brooks,jacobortega@example.org,ik_CA,Swaziland
u_000117,power_user,23,high,weekly,7.1,5.1,0.713,premium,0.1127,91.9,76.6,George Harrington,mitchelleric@example.net,ast_ES,Macao
u_000118,casual_browser,28,low,occasional,4.9,3.3,0.265,free,0.188,50.4,73.0,Tiffany Montes,timothylong@example.com,gez_ET,Cape Verde
u_000119,power_user,32,high,daily,8.0,2.6,0.641,basic,0.0701,84.5,69.0,Catherine Rangel,hlane@example.com,es_US,Fiji
u_000120,power_user,26,high,daily,7.7,4.7,0.805,basic,0.01,67.0,66.2,Angela Cardenas,cameronkaitlyn@example.com,ru_RU,Guinea
u_000121,price_sensitive,23,mid,occasional,1.9,6.9,0.18,free,0.2522,55.2,70.4,Louis Vasquez,youngmonica@example.com,ff_SN,Denmark
u_000122,casual_browser,35,low,weekly,4.6,5.3,0.378,basic,0.1611,53.0,37.0,Timothy Pratt,laurenstevens@example.com,ar_SO,Israel
u_000123,enterprise_user,41,high,daily,7.9,2.7,0.409,premium,0.01,61.5,70.1,Bryan Blair,younggerald@example.com,vi_VN,Papua New Guinea
u_000124,enterprise_user,37,high,daily,3.8,2.8,0.217,premium,0.0721,68.0,74.0,Barry Davis,martinezholly@example.org,nan_TW,Nepal
u_000125,casual_browser,31,high,occasional,4.9,4.3,0.376,free,0.3051,47.1,32.3,Sandra Richardson,bcoleman@example.org,bem_ZM,Bouvet Island (Bouvetoya)
u_000126,early_adopter,30,mid,daily,10.0,2.2,0.84,premium,0.148,82.5,84.6,Nicholas Davis,maria84@example.org,bho_IN,Puerto Rico
u_000127,casual_browser,18,mid,daily,4.6,5.3,0.05,basic,0.2938,36.0,55.5,Angela Lewis,dickersonhannah@example.com,tig_ER,Korea
u_000128,power_user,25,high,weekly,8.2,1.5,0.89,premium,0.0954,67.9,77.2,Sharon Davis DVM,emilyharmon@example.org,the_NP,Luxembourg
u_000129,early_adopter,24,high,daily,7.4,2.9,1.0,premium,0.0804,93.8,60.3,Stephanie Bennett,nicolebrady@example.com,el_CY,Liechtenstein
u_000130,price_sensitive,38,low,occasional,6.4,10.0,0.119,free,0.423,50.1,22.1,Thomas Noble,bryantjames@example.org,ik_CA,Peru
u_000131,enterprise_user,37,high,daily,9.3,1.0,0.264,premium,0.0974,75.8,71.5,Michael Monroe,qbarnes@example.com,mg_MG,Greenland
u_000132,casual_browser,47,high,weekly,3.4,7.8,0.49,premium,0.3527,55.7,39.6,Colleen Fernandez,jeffery00@example.net,be_BY,Papua New Guinea
u_000133,early_adopter,25,high,daily,9.9,3.7,0.9,premium,0.0627,76.2,87.7,Matthew Jackson,davidharris@example.net,eo_US,Bangladesh
u_000134,power_user,23,mid,daily,8.2,3.0,0.784,premium,0.1194,75.1,86.5,Rodney Reed,nathan05@example.com,raj_IN,Afghanistan
u_000135,early_adopter,19,mid,daily,9.1,4.3,0.936,basic,0.0201,87.2,74.1,Kevin Obrien,griffinjuan@example.org,hak_TW,Tokelau
u_000136,casual_browser,22,mid,daily,3.4,6.8,0.234,premium,0.1145,44.7,58.9,Brent White,shane42@example.com,nb_NO,Venezuela
u_000137,casual_browser,27,low,occasional,5.3,5.2,0.196,basic,0.2335,75.0,43.1,Brittany Pollard,danielsmichelle@example.net,as_IN,Bolivia
u_000138,early_adopter,22,high,daily,7.3,3.8,0.898,basic,0.1194,84.4,74.8,Anne Massey,dylanchen@example.com,yo_NG,Latvia
u_000139,power_user,29,high,daily,9.6,3.3,0.582,basic,0.0602,79.8,58.6,Troy Harris,kochheather@example.org,hi_IN,United Arab Emirates
u_000140,power_user,28,mid,daily,7.7,4.4,0.666,basic,0.099,88.8,78.1,Brandi Mejia,lori69@example.com,sd_IN,Guatemala
u_000141,early_adopter,28,mid,weekly,9.4,5.2,0.879,basic,0.169,78.4,89.2,Gabriella Rivera,martinrobert@example.net,fo_FO,Saint Vincent and the Grenadines
u_000142,casual_browser,36,low,weekly,3.5,2.6,0.288,free,0.1642,33.3,66.6,Christina Snyder,david86@example.org,fo_FO,Equatorial Guinea
u_000143,price_sensitive,30,low,occasional,4.7,8.8,0.325,free,0.2146,74.5,55.7,David Richardson,traciehickman@example.com,nhn_MX,Cameroon
u_000144,price_sensitive,36,mid,weekly,7.5,9.0,0.309,free,0.3526,45.7,77.1,Amy Greer,hunterwest@example.com,kn_IN,Northern Mariana Islands
u_000145,price_sensitive,22,low,occasional,4.9,6.1,0.344,basic,0.4294,31.6,52.7,Nathan Park,wesleylawrence@example.com,he_IL,Bahrain
u_000146,casual_browser,45,mid,weekly,2.6,5.9,0.458,free,0.1695,38.8,72.9,Amy Lopez,gclarke@example.net,br_FR,Seychelles
u_000147,early_adopter,18,high,weekly,9.9,2.6,0.788,premium,0.1378,92.4,55.3,Joseph Johnson,josephturner@example.org,lb_LU,South Africa
u_000148,casual_browser,31,low,weekly,3.7,4.5,0.236,free,0.1711,46.5,85.0,Phillip Baker,kmcgee@example.com,ml_IN,Israel
u_000149,power_user,34,high,daily,7.4,3.4,0.605,premium,0.1436,81.7,65.4,Calvin Smith,cabreraheather@example.org,ar_ER,Liberia
u_000150,power_user,26,high,daily,8.1,3.3,0.858,premium,0.0803,71.8,73.7,Jeremy Hoffman,jessicawallace@example.com,nhn_MX,Central African Republic
u_000151,price_sensitive,18,low,occasional,5.4,8.6,0.215,free,0.249,32.9,62.4,Brandon Mitchell,dorisbrock@example.com,cy_GB,Cayman Islands
u_000152,early_adopter,27,mid,weekly,7.2,3.7,0.809,premium,0.1648,100.0,70.7,Beverly Herrera,andrew02@example.net,yo_NG,Peru
u_000153,price_sensitive,30,low,daily,5.5,8.1,0.322,free,0.5174,37.4,55.1,Kayla Hill,nathansampson@example.com,gv_GB,French Southern Territories
u_000154,enterprise_user,34,high,weekly,9.5,3.1,0.539,premium,0.0436,63.1,82.0,Jessica Mccoy,brianguerrero@example.org,yi_US,Saint Vincent and the Grenadines
u_000155,casual_browser,33,low,occasional,5.7,5.9,0.438,basic,0.3016,75.0,58.3,Gregory Morrison,donnaholt@example.org,iu_CA,Rwanda
u_000156,power_user,28,mid,daily,8.4,1.8,0.75,free,0.1181,83.3,79.5,Tracy Morales,wholt@example.net,da_DK,Uganda
u_000157,casual_browser,33,low,weekly,5.4,4.8,0.163,free,0.3001,35.1,53.6,Andrea Oneill,richard27@example.com,uk_UA,Slovakia (Slovak Republic)
u_000158,enterprise_user,55,high,weekly,6.2,1.6,0.432,premium,0.0636,46.2,62.5,David Hernandez,tylerramirez@example.com,ca_ES,Seychelles
u_000159,casual_browser,33,mid,weekly,3.9,5.8,0.197,free,0.3817,15.7,32.6,Benjamin Pruitt,qvalentine@example.net,kn_IN,Cook Islands
u_000160,casual_browser,33,mid,weekly,2.0,6.2,0.321,free,0.1187,66.6,69.6,Amanda Duffy,mpalmer@example.net,ja_JP,Suriname
u_000161,power_user,25,mid,daily,7.9,4.5,0.775,premium,0.0813,84.2,81.1,Stephanie Lopez,barrytanya@example.org,ps_AF,United States Virgin Islands
u_000162,price_sensitive,23,low,weekly,8.7,7.3,0.197,free,0.3576,40.6,36.0,Jenna Williams,eric63@example.com,pl_PL,Argentina
u_000163,casual_browser,23,mid,occasional,5.0,6.8,0.428,premium,0.2188,67.0,54.5,Timothy Henderson,grice@example.com,tig_ER,Cyprus
u_000164,casual_browser,23,mid,weekly,6.8,5.9,0.589,basic,0.1695,35.8,32.0,Kelly Ayala,lhopkins@example.com,quz_PE,Kuwait
u_000165,power_user,30,mid,daily,9.3,3.7,0.994,premium,0.1639,91.5,74.7,Sylvia Martinez,lauriecontreras@example.net,tcy_IN,Zambia
u_000166,power_user,36,high,daily,7.9,3.8,0.748,premium,0.0813,80.3,67.8,Lynn Rodriguez,jenna65@example.com,mn_MN,Ireland
u_000167,enterprise_user,43,high,daily,10.0,4.4,0.494,premium,0.064,80.9,88.6,Steven Proctor,tbarber@example.org,oc_FR,Cocos (Keeling) Islands
u_000168,power_user,29,high,weekly,8.9,3.1,0.869,premium,0.1148,87.9,82.5,Jeremy Alvarez,danielsjason@example.com,ka_GE,Mozambique
u_000169,price_sensitive,35,low,weekly,6.7,9.1,0.288,free,0.2591,22.0,42.0,Paul Hammond,edward72@example.com,bho_IN,Argentina
u_000170,early_adopter,29,high,weekly,10.0,6.2,0.971,basic,0.1328,99.1,80.2,Kristopher Mcgee,christine14@example.net,rw_RW,Cuba
u_000171,power_user,20,mid,daily,8.1,2.0,0.839,premium,0.1216,55.4,75.0,Nancy Sanchez,adamsrussell@example.net,st_ZA,Bouvet Island (Bouvetoya)
u_000172,power_user,22,high,weekly,9.2,2.3,0.814,basic,0.0566,85.5,70.9,Debbie Mcdaniel,lauren31@example.com,lv_LV,India
u_000173,casual_browser,27,low,weekly,5.8,6.6,0.157,free,0.2021,41.0,78.8,Dr. David Love,doris71@example.net,shs_CA,Indonesia
u_000174,casual_browser,42,mid,occasional,4.9,10.0,0.086,free,0.123,25.8,50.0,Marc Lara,tannerscott@example.net,hak_TW,Lebanon
u_000175,early_adopter,30,low,weekly,8.4,4.6,0.84,premium,0.02,99.0,72.8,Jeffrey Turner,anthonyburke@example.net,cy_GB,Vietnam
u_000176,early_adopter,29,mid,daily,10.0,4.1,0.988,premium,0.0881,73.3,77.7,Daniel Thompson,jefferyyoung@example.net,dv_MV,North Macedonia
u_000177,casual_browser,54,low,weekly,5.5,3.6,0.143,free,0.1183,26.7,74.1,Susan Kent,jacob92@example.com,ug_CN,South Africa
u_000178,enterprise_user,50,high,weekly,9.1,2.4,0.657,basic,0.0127,64.3,66.0,Tiffany Thomas,tonyjohnson@example.com,kk_KZ,Korea
